borrower_id,age,annual_income_eur,loan_amount_eur,loan_type,lti_ratio,ltv_ratio,tenure_years,rate_type,employment_sector,credit_score,probability_of_default,risk_grade,monthly_repayment_eur,dti_monthly_ratio,ecb_shock_monthly_eur,affordability_stress
22,39,85429,285455,Mortgage,3.34,0.859,14,Variable,Employed,706,0.067,C – Standard,2408,0.338,428,Stretched
23,30,64732,195228,Mortgage,3.02,0.732,11,Fixed,Employed,370,0.078,C – Standard,1647,0.305,0,Stretched
24,64,49354,277580,Personal Loan,5.62,0.664,16,Fixed,Other,337,0.167,D – Substandard,2342,0.569,0,Stressed
25,57,40391,200136,Car Finance,4.95,0.81,33,Tracker,Employed,789,0.1502,D – Substandard,1688,0.501,750,Stressed
26,51,40865,221244,Mortgage,5.41,0.679,12,Variable,Employed,589,0.1936,D – Substandard,1866,0.548,331,Stressed
27,40,56255,127030,Personal Loan,2.26,0.514,16,Tracker,Employed,627,0.0866,C – Standard,1071,0.228,476,Comfortable
28,59,62652,127143,Credit Card,2.03,0.504,33,Fixed,Employed,671,0.0866,C – Standard,1072,0.205,0,Comfortable
29,47,33483,352715,Personal Loan,10.53,0.613,6,Variable,Public Sector,489,0.2663,E – Doubtful,2976,1.067,529,Stressed
30,42,49777,255130,Personal Loan,5.13,0.751,9,Fixed,Self-Employed,428,0.2125,E – Doubtful,2152,0.519,0,Stressed
31,42,20883,102474,Personal Loan,4.91,0.517,17,Fixed,Self-Employed,585,0.1344,D – Substandard,864,0.496,0,Stressed
32,32,53579,198684,Credit Card,3.71,0.725,14,Variable,Employed,341,0.1679,D – Substandard,1676,0.375,298,Stretched
33,26,67514,48748,Mortgage,0.72,0.585,12,Variable,Public Sector,462,0.1004,D – Substandard,411,0.073,73,Comfortable
34,47,43580,131180,Personal Loan,3.01,0.798,27,Fixed,Employed,626,0.0815,C – Standard,1106,0.305,0,Stretched
35,62,105128,305151,Mortgage,2.9,0.464,17,Fixed,Employed,818,0.0557,C – Standard,2575,0.294,0,Stretched
36,24,33856,167907,Mortgage,4.96,0.685,13,Variable,Employed,631,0.186,D – Substandard,1416,0.502,251,Stressed
37,61,53708,191923,Personal Loan,3.57,0.476,17,Fixed,Employed,713,0.0984,C – Standard,1619,0.362,0,Stretched
38,60,48288,34234,Car Finance,0.71,0.615,31,Fixed,Self-Employed,471,0.0663,C – Standard,288,0.072,0,Comfortable
39,34,46998,144966,Car Finance,3.08,0.458,34,Fixed,Employed,331,0.0998,C – Standard,1223,0.312,0,Stretched
40,51,46722,216652,Car Finance,4.64,0.685,9,Fixed,Employed,506,0.1726,D – Substandard,1828,0.47,0,Stressed
41,29,51276,232328,Personal Loan,4.53,0.834,2,Tracker,Employed,680,0.1417,D – Substandard,1960,0.459,871,Stressed
42,56,69992,305374,Personal Loan,4.36,0.5,2,Fixed,Self-Employed,325,0.1818,D – Substandard,2576,0.442,0,Stressed
43,54,87434,160228,Car Finance,1.83,0.818,16,Fixed,Employed,776,0.0295,B – Near Prime,1352,0.186,0,Comfortable
44,38,48974,164208,Mortgage,3.35,0.742,22,Variable,Public Sector,462,0.0896,C – Standard,1385,0.339,246,Stretched
45,25,69039,86451,Mortgage,1.25,0.702,2,Fixed,Employed,678,0.0349,B – Near Prime,729,0.127,0,Comfortable
46,66,36506,160735,Mortgage,4.4,0.75,18,Variable,Employed,785,0.1277,D – Substandard,1356,0.446,241,Stressed
47,42,67622,89871,Personal Loan,1.33,0.618,14,Fixed,Employed,636,0.0543,C – Standard,758,0.135,0,Comfortable
48,63,35595,65099,Personal Loan,1.83,0.805,32,Tracker,Employed,394,0.1342,D – Substandard,549,0.185,244,Comfortable
49,53,77503,99027,Car Finance,1.28,0.84,21,Variable,Employed,440,0.0759,C – Standard,835,0.129,148,Comfortable
50,57,124053,412411,Mortgage,3.32,0.839,15,Variable,Employed,557,0.0839,C – Standard,3480,0.337,618,Stretched
51,56,46570,155001,Car Finance,3.33,0.585,20,Fixed,Employed,838,0.0491,B – Near Prime,1307,0.337,0,Stretched
52,30,19518,202994,Personal Loan,10.4,0.777,5,Tracker,Employed,672,0.2115,E – Doubtful,1712,1.053,761,Stressed
53,38,38941,135615,Credit Card,3.48,0.524,17,Variable,Employed,639,0.1482,D – Substandard,1144,0.353,203,Stretched
54,43,82239,67184,Mortgage,0.82,0.698,12,Fixed,Self-Employed,741,0.0489,B – Near Prime,566,0.083,0,Comfortable
55,44,61839,300998,Personal Loan,4.87,0.451,7,Fixed,Employed,377,0.1949,D – Substandard,2539,0.493,0,Stressed
56,24,54423,54463,Personal Loan,1.0,0.547,14,Fixed,Other,344,0.1185,D – Substandard,459,0.101,0,Comfortable
57,47,74879,132569,Mortgage,1.77,0.766,22,Fixed,Employed,620,0.0392,B – Near Prime,1118,0.179,0,Comfortable
58,29,60082,174549,Mortgage,2.91,0.887,20,Fixed,Employed,625,0.085,C – Standard,1472,0.294,0,Stretched
59,56,81751,204182,Mortgage,2.5,0.475,33,Tracker,Employed,441,0.0796,C – Standard,1723,0.253,765,Comfortable
60,53,72125,120624,Mortgage,1.67,0.729,10,Tracker,Public Sector,645,0.0417,B – Near Prime,1017,0.169,452,Comfortable
61,64,92884,65455,Mortgage,0.7,0.768,24,Fixed,Employed,384,0.0594,C – Standard,552,0.071,0,Comfortable
62,56,56993,115774,Personal Loan,2.03,0.916,19,Tracker,Other,408,0.0976,C – Standard,976,0.205,434,Comfortable
63,38,71697,119155,Personal Loan,1.66,0.778,30,Variable,Self-Employed,791,0.0842,C – Standard,1005,0.168,178,Comfortable
64,66,43088,117571,Personal Loan,2.73,0.502,31,Fixed,Self-Employed,316,0.1559,D – Substandard,992,0.276,0,Comfortable
65,40,38077,306671,Mortgage,8.05,0.523,25,Tracker,Employed,606,0.201,E – Doubtful,2587,0.815,1150,Stressed
66,36,100392,92274,Mortgage,0.92,0.768,15,Variable,Employed,764,0.0333,B – Near Prime,778,0.093,138,Comfortable
67,63,53680,212253,Personal Loan,3.95,0.558,19,Variable,Employed,692,0.1446,D – Substandard,1791,0.4,318,Stretched
68,39,68737,196234,Personal Loan,2.85,0.914,23,Fixed,Retired,542,0.1003,D – Substandard,1655,0.289,0,Stretched
69,25,51635,305055,Personal Loan,5.91,0.91,28,Fixed,Public Sector,472,0.2296,E – Doubtful,2574,0.598,0,Stressed
70,43,38317,167171,Personal Loan,4.36,0.924,8,Tracker,Employed,333,0.1594,D – Substandard,1410,0.442,626,Stressed
71,58,49247,277929,Credit Card,5.64,0.596,30,Fixed,Employed,368,0.2784,E – Doubtful,2345,0.571,0,Stressed
72,30,89600,163616,Credit Card,1.83,0.808,28,Fixed,Employed,617,0.0775,C – Standard,1380,0.185,0,Comfortable
73,43,61895,228414,Personal Loan,3.69,0.782,3,Fixed,Public Sector,590,0.1081,D – Substandard,1927,0.374,0,Stretched
74,27,23889,78698,Mortgage,3.29,0.468,10,Fixed,Employed,507,0.1046,D – Substandard,664,0.334,0,Stretched
75,53,44783,42148,Mortgage,0.94,0.583,9,Fixed,Self-Employed,460,0.0623,C – Standard,355,0.095,0,Comfortable
76,43,103628,221383,Personal Loan,2.14,0.553,20,Tracker,Employed,344,0.1058,D – Substandard,1868,0.216,830,Comfortable
77,37,44810,228011,Mortgage,5.09,0.635,8,Fixed,Retired,367,0.1621,D – Substandard,1924,0.515,0,Stressed
78,32,23012,233637,Mortgage,10.15,0.927,11,Tracker,Employed,457,0.2043,E – Doubtful,1971,1.028,876,Stressed
79,47,108562,134764,Mortgage,1.24,0.873,7,Variable,Employed,808,0.042,B – Near Prime,1137,0.126,202,Comfortable
80,52,65290,408132,Car Finance,6.25,0.597,3,Fixed,Retired,479,0.1852,D – Substandard,3444,0.633,0,Stressed
81,65,47600,139674,Mortgage,2.93,0.715,16,Fixed,Public Sector,363,0.0821,C – Standard,1178,0.297,0,Stretched
82,42,41940,226722,Personal Loan,5.41,0.546,11,Fixed,Employed,616,0.1559,D – Substandard,1913,0.547,0,Stressed
83,29,77233,249459,Car Finance,3.23,0.589,18,Tracker,Public Sector,369,0.1052,D – Substandard,2105,0.327,935,Stretched
84,60,39040,462918,Personal Loan,11.86,0.483,8,Variable,Employed,521,0.235,E – Doubtful,3906,1.201,694,Stressed
85,50,79401,151090,Mortgage,1.9,0.771,10,Fixed,Employed,700,0.0346,B – Near Prime,1274,0.193,0,Comfortable
86,54,61557,125585,Car Finance,2.04,0.778,31,Tracker,Employed,358,0.0964,C – Standard,1059,0.206,470,Comfortable
87,26,54326,78906,Personal Loan,1.45,0.869,28,Tracker,Employed,807,0.0951,C – Standard,665,0.147,295,Comfortable
88,36,52110,422439,Mortgage,8.11,0.886,10,Fixed,Self-Employed,649,0.1578,D – Substandard,3564,0.821,0,Stressed
89,57,45547,226789,Personal Loan,4.98,0.53,6,Variable,Employed,802,0.1097,D – Substandard,1913,0.504,340,Stressed
90,60,76051,230771,Mortgage,3.03,0.822,34,Variable,Employed,700,0.0649,C – Standard,1947,0.307,346,Stretched
91,42,34083,600000,Personal Loan,17.6,0.517,24,Tracker,Public Sector,831,0.1384,D – Substandard,5063,1.783,2250,Stressed
92,59,24804,215081,Car Finance,8.67,0.637,17,Fixed,Employed,579,0.1758,D – Substandard,1814,0.878,0,Stressed
93,60,63453,87879,Personal Loan,1.38,0.708,24,Fixed,Employed,308,0.1065,D – Substandard,741,0.14,0,Comfortable
94,39,63902,161498,Credit Card,2.53,0.475,8,Fixed,Employed,334,0.1027,D – Substandard,1362,0.256,0,Comfortable
95,63,59976,105226,Mortgage,1.75,0.528,15,Fixed,Public Sector,400,0.056,C – Standard,887,0.177,0,Comfortable
96,35,58177,144678,Car Finance,2.49,0.586,14,Fixed,Employed,356,0.0598,C – Standard,1220,0.252,0,Comfortable
97,33,42846,144145,Personal Loan,3.36,0.514,25,Variable,Other,744,0.1109,D – Substandard,1216,0.341,216,Stretched
98,53,68237,130240,Mortgage,1.91,0.917,7,Fixed,Public Sector,819,0.0312,B – Near Prime,1099,0.193,0,Comfortable
99,51,48091,83591,Car Finance,1.74,0.594,17,Fixed,Public Sector,641,0.0393,B – Near Prime,705,0.176,0,Comfortable
100,28,39951,431868,Car Finance,10.81,0.701,29,Variable,Public Sector,404,0.2443,E – Doubtful,3644,1.095,647,Stressed
101,60,43002,212005,Mortgage,4.93,0.948,7,Fixed,Self-Employed,838,0.2212,E – Doubtful,1789,0.499,0,Stressed
102,31,114538,158893,Personal Loan,1.39,0.733,5,Fixed,Retired,469,0.0887,C – Standard,1340,0.14,0,Comfortable
103,59,23654,272856,Mortgage,11.54,0.656,28,Variable,Self-Employed,785,0.1685,D – Substandard,2302,1.168,409,Stressed
104,22,60470,233068,Mortgage,3.85,0.915,30,Tracker,Employed,678,0.1295,D – Substandard,1966,0.39,874,Stretched
105,58,24216,209322,Mortgage,8.64,0.561,15,Fixed,Employed,540,0.1493,D – Substandard,1766,0.875,0,Stressed
106,58,46842,262170,Mortgage,5.6,0.54,2,Tracker,Public Sector,735,0.1523,D – Substandard,2212,0.567,983,Stressed
107,57,40858,193622,Mortgage,4.74,0.718,19,Tracker,Employed,665,0.1621,D – Substandard,1633,0.48,726,Stressed
108,52,20420,260048,Mortgage,12.73,0.664,11,Variable,Public Sector,801,0.1766,D – Substandard,2194,1.289,390,Stressed
109,43,57722,272178,Credit Card,4.72,0.848,20,Tracker,Other,634,0.1805,D – Substandard,2296,0.477,1020,Stressed
110,54,41788,196711,Mortgage,4.71,0.471,5,Fixed,Employed,517,0.139,D – Substandard,1659,0.476,0,Stressed
111,34,20299,159338,Car Finance,7.85,0.759,28,Fixed,Employed,352,0.2252,E – Doubtful,1344,0.795,0,Stressed
112,57,69746,417365,Mortgage,5.98,0.805,24,Tracker,Employed,845,0.1524,D – Substandard,3521,0.606,1565,Stressed
113,47,89563,138296,Mortgage,1.54,0.936,22,Fixed,Employed,729,0.0391,B – Near Prime,1167,0.156,0,Comfortable
114,43,91660,223065,Personal Loan,2.43,0.523,18,Fixed,Self-Employed,357,0.1127,D – Substandard,1882,0.246,0,Comfortable
115,45,56997,225855,Mortgage,3.96,0.573,8,Fixed,Employed,633,0.1024,D – Substandard,1905,0.401,0,Stressed
116,48,49978,128636,Mortgage,2.57,0.916,32,Fixed,Employed,754,0.0421,B – Near Prime,1085,0.261,0,Comfortable
117,23,85632,115346,Credit Card,1.35,0.765,10,Fixed,Employed,684,0.1023,D – Substandard,973,0.136,0,Comfortable
118,28,99369,148061,Mortgage,1.49,0.469,13,Fixed,Employed,449,0.0677,C – Standard,1249,0.151,0,Comfortable
119,33,78912,137211,Mortgage,1.74,0.489,32,Tracker,Employed,375,0.0719,C – Standard,1157,0.176,514,Comfortable
120,27,33009,80662,Personal Loan,2.44,0.843,2,Fixed,Employed,815,0.0573,C – Standard,680,0.247,0,Comfortable
121,42,53346,125703,Mortgage,2.36,0.734,5,Tracker,Public Sector,503,0.0509,C – Standard,1060,0.238,471,Comfortable
122,52,58958,208235,Personal Loan,3.53,0.733,26,Fixed,Employed,778,0.098,C – Standard,1757,0.358,0,Stretched
123,52,22924,360868,Mortgage,15.74,0.89,13,Fixed,Employed,556,0.1739,D – Substandard,3045,1.594,0,Stressed
124,43,59702,243997,Mortgage,4.09,0.571,20,Tracker,Employed,719,0.1177,D – Substandard,2058,0.414,914,Stressed
125,61,127345,43055,Mortgage,0.34,0.53,20,Fixed,Self-Employed,433,0.0673,C – Standard,363,0.034,0,Comfortable
126,48,64136,255944,Mortgage,3.99,0.757,29,Fixed,Public Sector,632,0.0952,C – Standard,2159,0.404,0,Stressed
127,25,91019,132325,Personal Loan,1.45,0.891,22,Tracker,Employed,608,0.1102,D – Substandard,1116,0.147,496,Comfortable
128,57,52935,230773,Car Finance,4.36,0.583,15,Fixed,Self-Employed,417,0.1901,D – Substandard,1947,0.441,0,Stressed
129,48,47536,178478,Personal Loan,3.75,0.791,19,Fixed,Public Sector,674,0.1254,D – Substandard,1506,0.38,0,Stretched
130,51,57534,161784,Mortgage,2.81,0.526,26,Tracker,Public Sector,554,0.0649,C – Standard,1365,0.285,606,Stretched
131,48,34799,170036,Credit Card,4.89,0.536,13,Fixed,Self-Employed,659,0.2135,E – Doubtful,1434,0.494,0,Stressed
132,47,32702,177667,Personal Loan,5.43,0.901,6,Variable,Self-Employed,319,0.2203,E – Doubtful,1499,0.55,266,Stressed
133,26,83437,376782,Mortgage,4.52,0.509,17,Fixed,Employed,367,0.1024,D – Substandard,3179,0.457,0,Stressed
134,47,87236,177937,Mortgage,2.04,0.462,34,Fixed,Employed,690,0.0372,B – Near Prime,1501,0.206,0,Comfortable
135,58,32329,326780,Mortgage,10.11,0.837,4,Fixed,Public Sector,847,0.1354,D – Substandard,2757,1.023,0,Stressed
136,35,73611,301627,Mortgage,4.1,0.631,6,Variable,Employed,363,0.1549,D – Substandard,2545,0.415,452,Stressed
137,49,47262,259594,Mortgage,5.49,0.648,34,Fixed,Employed,313,0.1628,D – Substandard,2190,0.556,0,Stressed
138,23,56540,67329,Mortgage,1.19,0.85,29,Tracker,Self-Employed,442,0.0978,C – Standard,568,0.121,252,Comfortable
139,37,59473,332417,Credit Card,5.59,0.54,4,Variable,Retired,323,0.2256,E – Doubtful,2805,0.566,498,Stressed
140,42,74430,139826,Mortgage,1.88,0.775,8,Variable,Employed,434,0.0671,C – Standard,1179,0.19,209,Comfortable
141,67,50753,266638,Mortgage,5.25,0.607,24,Fixed,Public Sector,680,0.1515,D – Substandard,2250,0.532,0,Stressed
142,31,88633,105356,Credit Card,1.19,0.502,27,Variable,Employed,733,0.0977,C – Standard,889,0.12,158,Comfortable
143,34,55823,93733,Mortgage,1.68,0.794,25,Variable,Public Sector,646,0.045,B – Near Prime,790,0.17,140,Comfortable
144,40,63713,533393,Mortgage,8.37,0.609,30,Fixed,Public Sector,520,0.1639,D – Substandard,4501,0.848,0,Stressed
145,67,34545,106261,Mortgage,3.08,0.883,18,Tracker,Public Sector,385,0.1022,D – Substandard,896,0.311,398,Stretched
146,61,121374,337850,Personal Loan,2.78,0.91,30,Fixed,Retired,593,0.1195,D – Substandard,2850,0.282,0,Stretched
147,23,59714,191977,Mortgage,3.21,0.875,21,Tracker,Other,830,0.0841,C – Standard,1620,0.326,719,Stretched
148,32,66135,142761,Personal Loan,2.16,0.611,17,Tracker,Retired,414,0.0873,C – Standard,1204,0.218,535,Comfortable
149,59,24948,175491,Car Finance,7.03,0.568,22,Fixed,Employed,598,0.159,D – Substandard,1480,0.712,0,Stressed
150,24,34698,87938,Personal Loan,2.53,0.896,15,Fixed,Employed,483,0.1444,D – Substandard,742,0.257,0,Comfortable
151,61,82447,178516,Car Finance,2.17,0.676,21,Fixed,Employed,496,0.074,C – Standard,1506,0.219,0,Comfortable
152,34,55298,99160,Personal Loan,1.79,0.804,29,Fixed,Employed,581,0.0608,C – Standard,836,0.181,0,Comfortable
153,64,21943,144712,Personal Loan,6.59,0.864,33,Tracker,Self-Employed,393,0.2892,E – Doubtful,1221,0.668,542,Stressed
154,35,75817,299214,Mortgage,3.95,0.589,20,Fixed,Employed,406,0.1193,D – Substandard,2524,0.399,0,Stretched
155,41,39011,206861,Mortgage,5.3,0.51,1,Variable,Retired,322,0.1916,D – Substandard,1745,0.537,310,Stressed
156,52,88676,79602,Mortgage,0.9,0.762,22,Tracker,Employed,679,0.0562,C – Standard,671,0.091,298,Comfortable
157,27,47245,287310,Personal Loan,6.08,0.745,9,Tracker,Employed,799,0.2034,E – Doubtful,2424,0.616,1077,Stressed
158,47,53421,179170,Mortgage,3.35,0.585,9,Fixed,Employed,547,0.0766,C – Standard,1511,0.339,0,Stretched
159,45,80431,133492,Personal Loan,1.66,0.742,30,Tracker,Employed,641,0.0632,C – Standard,1126,0.168,500,Comfortable
160,58,33625,271216,Mortgage,8.07,0.845,16,Fixed,Employed,841,0.1786,D – Substandard,2288,0.817,0,Stressed
161,67,32305,164067,Personal Loan,5.08,0.625,27,Fixed,Self-Employed,717,0.1708,D – Substandard,1384,0.514,0,Stressed
162,52,45137,94739,Mortgage,2.1,0.571,13,Fixed,Employed,435,0.0415,B – Near Prime,799,0.212,0,Comfortable
163,40,69384,496975,Car Finance,7.16,0.813,21,Variable,Public Sector,726,0.1634,D – Substandard,4193,0.725,745,Stressed
164,40,28030,178169,Mortgage,6.36,0.843,23,Fixed,Employed,517,0.1591,D – Substandard,1503,0.643,0,Stressed
165,41,24329,171998,Personal Loan,7.07,0.927,31,Fixed,Self-Employed,827,0.1742,D – Substandard,1451,0.716,0,Stressed
166,59,69283,143945,Personal Loan,2.08,0.524,7,Fixed,Self-Employed,808,0.0718,C – Standard,1214,0.21,0,Comfortable
167,36,38053,344201,Mortgage,9.05,0.895,20,Tracker,Employed,322,0.2442,E – Doubtful,2904,0.916,1290,Stressed
168,29,41575,134768,Car Finance,3.24,0.833,14,Variable,Employed,787,0.0726,C – Standard,1137,0.328,202,Stretched
169,37,22474,76899,Car Finance,3.42,0.801,16,Variable,Public Sector,432,0.108,D – Substandard,648,0.346,115,Stretched
170,23,36858,123837,Personal Loan,3.36,0.607,29,Variable,Self-Employed,566,0.1366,D – Substandard,1045,0.34,185,Stretched
171,26,48865,373146,Credit Card,7.64,0.461,5,Fixed,Employed,712,0.2094,E – Doubtful,3148,0.773,0,Stressed
172,26,72457,284267,Mortgage,3.92,0.704,19,Fixed,Self-Employed,367,0.1879,D – Substandard,2398,0.397,0,Stretched
173,57,35457,156332,Car Finance,4.41,0.593,14,Fixed,Employed,308,0.1328,D – Substandard,1319,0.446,0,Stressed
174,55,98331,382808,Car Finance,3.89,0.595,31,Fixed,Employed,524,0.1405,D – Substandard,3230,0.394,0,Stretched
175,54,36771,271405,Personal Loan,7.38,0.914,8,Tracker,Employed,619,0.2101,E – Doubtful,2290,0.747,1017,Stressed
176,43,36794,155340,Car Finance,4.22,0.526,8,Fixed,Public Sector,623,0.147,D – Substandard,1310,0.427,0,Stressed
177,54,93497,164185,Personal Loan,1.76,0.917,4,Variable,Employed,823,0.0673,C – Standard,1385,0.178,246,Comfortable
178,29,53573,215588,Mortgage,4.02,0.702,15,Tracker,Employed,439,0.1364,D – Substandard,1819,0.407,808,Stressed
179,63,38876,113830,Personal Loan,2.93,0.869,1,Tracker,Employed,691,0.11,D – Substandard,960,0.296,426,Stretched
180,45,45928,180318,Mortgage,3.93,0.592,18,Fixed,Employed,405,0.1332,D – Substandard,1521,0.397,0,Stretched
181,65,86533,213135,Personal Loan,2.46,0.767,8,Tracker,Employed,547,0.0994,C – Standard,1798,0.249,799,Comfortable
182,29,90744,71123,Mortgage,0.78,0.728,14,Variable,Employed,592,0.0665,C – Standard,600,0.079,106,Comfortable
183,44,34785,162084,Personal Loan,4.66,0.912,21,Fixed,Public Sector,536,0.1848,D – Substandard,1367,0.472,0,Stressed
184,54,48154,152256,Mortgage,3.16,0.54,24,Variable,Public Sector,396,0.0808,C – Standard,1284,0.32,228,Stretched
185,44,50912,316613,Mortgage,6.22,0.552,3,Fixed,Employed,404,0.1815,D – Substandard,2671,0.63,0,Stressed
186,42,32395,65220,Mortgage,2.01,0.924,6,Tracker,Employed,780,0.0502,C – Standard,550,0.204,244,Comfortable
187,29,47887,145826,Mortgage,3.05,0.499,11,Variable,Employed,822,0.0839,C – Standard,1230,0.308,218,Stretched
188,39,49130,138003,Personal Loan,2.81,0.767,18,Variable,Public Sector,340,0.1184,D – Substandard,1164,0.284,207,Stretched
189,32,79133,304991,Mortgage,3.85,0.48,31,Tracker,Employed,427,0.1383,D – Substandard,2573,0.39,1143,Stretched
190,35,81399,175615,Mortgage,2.16,0.488,5,Variable,Public Sector,843,0.0212,B – Near Prime,1481,0.218,263,Comfortable
191,53,42690,483038,Mortgage,11.32,0.749,3,Fixed,Employed,364,0.1956,D – Substandard,4076,1.146,0,Stressed
192,50,44807,258905,Mortgage,5.78,0.726,22,Fixed,Self-Employed,595,0.1701,D – Substandard,2184,0.585,0,Stressed
193,49,64796,143541,Mortgage,2.22,0.737,34,Tracker,Self-Employed,459,0.0693,C – Standard,1211,0.224,538,Comfortable
194,38,38338,205214,Mortgage,5.35,0.687,29,Variable,Self-Employed,840,0.1631,D – Substandard,1731,0.542,307,Stressed
195,66,62769,148043,Personal Loan,2.36,0.821,20,Tracker,Employed,709,0.07,C – Standard,1249,0.239,555,Comfortable
196,26,47243,288562,Personal Loan,6.11,0.946,1,Fixed,Employed,713,0.2241,E – Doubtful,2435,0.619,0,Stressed
197,37,32625,86447,Credit Card,2.65,0.588,20,Fixed,Employed,336,0.1454,D – Substandard,729,0.268,0,Comfortable
198,27,32798,114344,Mortgage,3.49,0.612,16,Tracker,Other,384,0.1077,D – Substandard,964,0.353,428,Stretched
199,37,90017,231105,Mortgage,2.57,0.612,16,Variable,Employed,737,0.04,B – Near Prime,1950,0.26,346,Comfortable
200,66,45903,352979,Mortgage,7.69,0.832,17,Fixed,Self-Employed,425,0.1984,D – Substandard,2978,0.779,0,Stressed
201,38,97630,53579,Personal Loan,0.55,0.624,20,Fixed,Retired,538,0.0508,C – Standard,452,0.056,0,Comfortable
202,63,39508,383064,Mortgage,9.7,0.788,25,Tracker,Self-Employed,358,0.2587,E – Doubtful,3232,0.982,1436,Stressed
203,44,55398,166529,Mortgage,3.01,0.673,7,Variable,Employed,312,0.1023,D – Substandard,1405,0.304,249,Stretched
204,54,133910,63822,Personal Loan,0.48,0.754,3,Fixed,Employed,700,0.0749,C – Standard,538,0.048,0,Comfortable
205,43,31441,34511,Mortgage,1.1,0.865,2,Fixed,Public Sector,397,0.0672,C – Standard,291,0.111,0,Comfortable
206,34,22090,77562,Personal Loan,3.51,0.707,14,Fixed,Retired,392,0.106,D – Substandard,654,0.355,0,Stretched
207,57,84150,177932,Personal Loan,2.11,0.688,18,Fixed,Other,763,0.0666,C – Standard,1501,0.214,0,Comfortable
208,66,34639,173469,Car Finance,5.01,0.583,27,Fixed,Employed,693,0.1818,D – Substandard,1463,0.507,0,Stressed
209,34,48596,254806,Mortgage,5.24,0.708,15,Fixed,Retired,417,0.1502,D – Substandard,2150,0.531,0,Stressed
210,57,38327,132957,Mortgage,3.47,0.581,19,Tracker,Employed,772,0.0917,C – Standard,1121,0.351,498,Stretched
211,34,54864,97790,Personal Loan,1.78,0.872,34,Fixed,Self-Employed,833,0.0503,C – Standard,825,0.18,0,Comfortable
212,54,32885,143315,Mortgage,4.36,0.644,26,Tracker,Employed,526,0.1707,D – Substandard,1209,0.441,537,Stressed
213,58,45452,183227,Mortgage,4.03,0.515,24,Fixed,Employed,549,0.1147,D – Substandard,1546,0.408,0,Stressed
214,42,59214,204214,Mortgage,3.45,0.57,13,Fixed,Self-Employed,663,0.0594,C – Standard,1723,0.349,0,Stretched
215,55,32096,116536,Mortgage,3.63,0.717,6,Fixed,Employed,380,0.1057,D – Substandard,983,0.368,0,Stretched
